index,,,depart_time,depart_weekday,duration,arrival_time,arrival_weekday,flight_no,airline_code,airline,economy_fare,business_fare,first_fare
217,,,19:28:00,2,2:26:00,21:54:00,2,AA9187,AA,American Airlines,16674,,
218,,,19:28:00,1,2:26:00,21:54:00,1,AA9187,AA,American Airlines,16674,,
219,,,21:29:00,5,2:30:00,23:59:00,5,DL517,DL,Delta Airlines,16893,29547,
220,,,19:45:00,5,2:31:00,22:16:00,5,DL860,DL,Delta Airlines,16893,29547,
221,,,18:25:00,5,2:35:00,21:00:00,5,DL526,DL,Delta Airlines,16893,29547,
222,,,18:25:00,4,2:35:00,21:00:00,4,DL526,DL,Delta Airlines,16893,,
223,,,17:04:00,5,2:25:00,19:29:00,5,B6720,B6,Jetblue Airways,16896,,
224,,,22:09:00,6,2:03:00,0:12:00,0,DL710,DL,Delta Airlines,43749,114131,
225,,,12:00:00,5,1:54:00,13:54:00,5,DL1677,DL,Delta Airlines,45326,,
226,,,12:00:00,6,1:54:00,13:54:00,6,DL1677,DL,Delta Airlines,45326,,
227,,,12:00:00,4,1:54:00,13:54:00,4,DL1677,DL,Delta Airlines,45326,,
228,,,8:34:00,5,1:59:00,10:33:00,5,DL715,DL,Delta Airlines,45326,,
229,,,8:34:00,4,1:59:00,10:33:00,4,DL715,DL,Delta Airlines,45326,,
230,,,22:09:00,4,2:03:00,0:12:00,5,DL710,DL,Delta Airlines,45326,62648,
231,,,10:00:00,6,2:03:00,12:03:00,6,DL824,DL,Delta Airlines,45326,118401,
232,,,22:09:00,5,2:03:00,0:12:00,6,DL710,DL,Delta Airlines,45326,,
233,,,10:00:00,4,2:03:00,12:03:00,4,DL824,DL,Delta Airlines,45326,62648,
234,,,10:00:00,5,2:03:00,12:03:00,5,DL824,DL,Delta Airlines,45326,,
235,,,14:50:00,4,2:04:00,16:54:00,4,DL753,DL,Delta Airlines,45326,,
236,,,14:50:00,6,2:04:00,16:54:00,6,DL753,DL,Delta Airlines,45326,,
237,,,19:25:00,4,2:05:00,21:30:00,4,DL1462,DL,Delta Airlines,45326,62648,
238,,,17:10:00,5,2:05:00,19:15:00,5,DL769,DL,Delta Airlines,45326,124045,
239,,,17:10:00,4,2:05:00,19:15:00,4,DL769,DL,Delta Airlines,45326,,
240,,,19:25:00,6,2:05:00,21:30:00,6,DL1462,DL,Delta Airlines,45326,114131,
241,,,17:10:00,6,2:05:00,19:15:00,6,DL769,DL,Delta Airlines,45326,,
242,,,15:25:00,5,2:07:00,17:32:00,5,DL753,DL,Delta Airlines,45326,,
243,,,19:32:00,4,2:13:00,21:45:00,4,UA211,UA,United Airlines,45380,55773,
244,,,19:32:00,5,2:13:00,21:45:00,5,UA211,UA,United Airlines,45438,60017,
245,,,19:32:00,6,2:13:00,21:45:00,6,UA211,UA,United Airlines,46189,56622,
